timestamp,open,high,low,close,coin
2026-01-31,2924.81,3036.85,2641.68,2702.41,ethereum
2026-02-04,2702.88,2709.04,2117.03,2226.99,ethereum
2026-02-08,2229.7,2287.16,1756.73,2091.04,ethereum
2026-02-12,2089.39,2140.2,1911.96,1939.43,ethereum
2026-02-16,1940.58,2100.05,1902.17,1963.96,ethereum
2026-02-20,1965.16,2030.77,1914.26,1946.91,ethereum
2026-02-24,1948.07,1994.42,1845.98,1853.7,ethereum
2026-02-28,1856.09,2121.02,1807.63,1931.32,ethereum
2026-03-04,1930.31,2072.0,1841.29,1982.46,ethereum
2026-03-08,1981.4,2192.82,1948.58,1969.69,ethereum
2026-03-12,1969.78,2084.64,1922.33,2051.73,ethereum
2026-03-16,2052.16,2200.03,2020.71,2175.06,ethereum
2026-03-20,2177.72,2377.64,2104.6,2137.45,ethereum
2026-03-24,2136.1,2186.9,2030.61,2151.5,ethereum
2026-03-28,2150.13,2196.43,1972.03,1991.9,ethereum
2026-04-01,1990.82,2114.72,1947.32,2104.88,ethereum
2026-04-05,2103.22,2161.5,2018.64,2064.99,ethereum
2026-04-09,2065.52,2265.34,2024.21,2190.48,ethereum
2026-04-13,2189.15,2322.45,2160.4,2192.16,ethereum
2026-04-17,2189.6,2401.35,2178.19,2348.7,ethereum
